,Date,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
115,06/24/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/24/2020,Bronx,64,47294,4930,302266
116,06/25/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/25/2020,Bronx,89,47383,4377,306643
117,06/26/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/26/2020,Bronx,73,47456,5794,312437
118,06/27/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/27/2020,Bronx,58,47514,5208,317645
119,06/28/2020,0.4,5,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/28/2020,Bronx,41,47555,3588,321233
120,06/29/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/29/2020,Bronx,43,47598,4056,325289
121,06/30/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,06/30/2020,Bronx,53,47651,4725,330014
122,07/01/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/01/2020,Bronx,107,47758,5267,335281
123,07/02/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/02/2020,Bronx,80,47838,5521,340802
124,07/03/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/03/2020,Bronx,64,47902,4449,345251
125,07/04/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/04/2020,Bronx,36,47938,4275,349526
126,07/05/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/05/2020,Bronx,56,47994,4111,353637
127,07/06/2020,0.5,6,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/06/2020,Bronx,44,48038,3695,357332
128,07/07/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/07/2020,Bronx,38,48076,3456,360788
129,07/08/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/08/2020,Bronx,50,48126,3993,364781
130,07/09/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/09/2020,Bronx,82,48208,5706,370487
131,07/10/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/10/2020,Bronx,59,48267,4932,375419
132,07/11/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/11/2020,Bronx,60,48327,4401,379820
133,07/12/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/12/2020,Bronx,50,48377,3980,383800
134,07/13/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/13/2020,Bronx,56,48433,4169,387969
135,07/14/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,07/14/2020,Bronx,63,48496,4435,392404
