"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/22/2020","AQS","360010012","1","0.046","ppm","43","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/23/2020","AQS","360010012","1","0.046","ppm","43","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/24/2020","AQS","360010012","1","0.038","ppm","35","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/25/2020","AQS","360010012","1","0.051","ppm","47","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/26/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/27/2020","AQS","360010012","1","0.036","ppm","33","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/28/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/29/2020","AQS","360010012","1","0.043","ppm","40","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/30/2020","AQS","360010012","1","0.039","ppm","36","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/01/2020","AQS","360010012","1","0.035","ppm","32","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/02/2020","AQS","360010012","1","0.043","ppm","40","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/03/2020","AQS","360010012","1","0.051","ppm","47","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/04/2020","AQS","360010012","1","0.031","ppm","29","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/05/2020","AQS","360010012","1","0.037","ppm","34","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/06/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/07/2020","AQS","360010012","1","0.045","ppm","42","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/08/2020","AirNow","360010012","1","0.03","ppm","28","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/09/2020","AirNow","360010012","1","0.016","ppm","15","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/10/2020","AirNow","360010012","1","0.023","ppm","21","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/11/2020","AQS","360010012","1","0.038","ppm","35","LOUDONVILLE","14","82.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/12/2020","AQS","360010012","1","0.041","ppm","38","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/13/2020","AQS","360010012","1","0.04","ppm","37","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"05/14/2020","AQS","360010012","1","0.05","ppm","46","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
