,Date,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
153,08/01/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/01/2020,Albany,6,2521,463,76966
154,08/02/2020,0.034,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/02/2020,Albany,10,2531,529,77495
155,08/03/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/03/2020,Albany,12,2543,770,78265
156,08/04/2020,0.018000000000000002,17,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/04/2020,Albany,13,2556,1218,79483
157,08/05/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/05/2020,Albany,9,2565,800,80283
158,08/06/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/06/2020,Albany,8,2573,757,81040
159,08/07/2020,0.04,37,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/07/2020,Albany,8,2581,946,81986
160,08/08/2020,0.052000000000000005,48,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/08/2020,Albany,14,2595,903,82889
161,08/09/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/09/2020,Albany,5,2600,739,83628
162,08/10/2020,0.048,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/10/2020,Albany,14,2614,1127,84755
163,08/11/2020,0.054000000000000006,50,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/11/2020,Albany,10,2624,1451,86206
164,08/12/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/12/2020,Albany,12,2636,1052,87258
165,08/13/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/13/2020,Albany,3,2639,1173,88431
166,08/14/2020,0.034,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/14/2020,Albany,4,2643,1109,89540
167,08/15/2020,0.026000000000000002,24,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/15/2020,Albany,11,2654,1142,90682
168,08/16/2020,0.024,22,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/16/2020,Albany,3,2657,700,91382
169,08/17/2020,0.034,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/17/2020,Albany,4,2661,991,92373
170,08/18/2020,0.032,30,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/18/2020,Albany,14,2675,1197,93570
171,08/19/2020,0.026000000000000002,24,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/19/2020,Albany,9,2684,1750,95320
172,08/20/2020,0.033,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/20/2020,Albany,7,2691,1443,96763
173,08/21/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/21/2020,Albany,2,2693,1336,98099
174,08/22/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/22/2020,Albany,6,2699,1263,99362
175,08/23/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/23/2020,Albany,2,2701,490,99852
176,08/24/2020,0.048,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/24/2020,Albany,10,2711,972,100824
177,08/25/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/25/2020,Albany,7,2718,1042,101866
178,08/26/2020,0.03,28,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,08/26/2020,Albany,18,2736,1266,103132
