,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
514,04/16/2020,18.6,17,BUFFALO,19,79.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/16/2020,Erie,79,1929,348,8020
515,04/16/2020,21.0,20,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/16/2020,Erie,79,1929,348,8020
516,04/17/2020,20.2,19,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/17/2020,Erie,68,1997,262,8282
517,04/17/2020,21.2,20,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/17/2020,Erie,68,1997,262,8282
518,04/18/2020,21.2,20,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/18/2020,Erie,73,2070,367,8649
519,04/18/2020,15.4,14,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/18/2020,Erie,73,2070,367,8649
520,04/19/2020,16.7,15,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/19/2020,Erie,39,2109,199,8848
521,04/19/2020,6.8,6,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/19/2020,Erie,39,2109,199,8848
522,04/20/2020,31.3,29,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/20/2020,Erie,38,2147,258,9106
523,04/20/2020,22.4,21,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/20/2020,Erie,38,2147,258,9106
524,04/21/2020,10.7,9,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/21/2020,Erie,86,2233,347,9453
525,04/21/2020,5.7,5,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/21/2020,Erie,86,2233,347,9453
